video_id,video_name,minute,text
1qtfILYSDJY,Unsupervised Learning - Georgia Tech - Machine Learning,3-4,"you can say there were 57 males and
23 females say. Or there are mostly people with beards. >> So on.
>> Or whatever. >> I like summarization for that. That seems good. >> I like summarization for that. >> Yeah.
>> It's a nice concise description. That's unsupervised learning. >> Good.
Very good. >> And practice.
>> And that's different from supervised learning? >> It's different in supervised learning
and it's different in a couple of ways. One way that it's different
is all of those ways that we could have just divided up the world. In some sense are all equal either. So I could divide up by sex or I could divide up by height or I could
divide up by clothing or whatever. And they're all equally good absent
some other signal later telling you how you should be dividing up the world. But supervised learning directly
tells you there's a signal. This is what it ought to be,
and that's how you train. And those are very different. >> Now, but I could see ways that
unsupervised learning could be helpful in the supervised setting, right? So if I do get a nice description, and
it's the right kind of description, it might help me map to, it may help me
do the function approximation better. >> Right, so instead of taking
pixels that input, as input, and, and labels like, male or female. I could just simply take a summarization
of you like how much hair do you have your relative height,
the weight, and"
1qtfILYSDJY,Unsupervised Learning - Georgia Tech - Machine Learning,4-5,"various things like that
that might help me do it. That's right.
And by the way, in practice this turns out to be
things like density estimation. We do end up turning it into
statistics at the end of the day. Often. >> But
it's statistics from the beginning. But when you say density estimation. >> Yes.
>> Are you saying I'm stupid? No.
>> All right so what is density estimation? >> Well they'll have to
take the class to find out. >> I see. >> Okay"
Ee4uH7PaN1M,Reinforcement Learning - Georgia Tech - Machine Learning,0-1,"All right.
So that's supervised learning and unsupervised learning. That's pretty good. The last one is reinforcement learning. >> [SOUND]. >> Now reinforcement learning
is what we both do, so Michael does a little bit of
reinforcement learning here and there. You've got how many papers published
in reinforcement learning? >> All of them. [LAUGH] Several. I have several. >> The man has like a hundred papers of
reinforcement learnings and in fact he wrote with his colleagues the great
summary journal article bringing every one up to date on what reinforcement
learning was like back in 1990. >> Yeah like 112 years ago. >> 1992. >> People are saying yeah we should
probably somebody should write a new one because the other ones getting
a little long in the dude. >> But there's been books written
on machine learning system. >> That's right. >> It's a very popular field. That's why we're both in it. Michael tends to prove a lot of things,. >> It is not, that is not why I'm in it. >> What, I didn't, wait, what? >> You said it's a very popular
field and that's why we're in it. >> No, no, no, no, no. Did I say that? >> That's what I heard. >> I didn't mean to say that. >> [SOUND] Let's run it back and see. >> It's a very popular, yeah, let's do that again because
I did not mean to say that. It is a very popular field. Perhaps because you're in it Michael. >> I don't think that's it. When I was an undergraduate,"
Ee4uH7PaN1M,Reinforcement Learning - Georgia Tech - Machine Learning,1-2,"I thought the thing that I
really want to understand. I liked AI,
I liked the whole idea of AI. But what I really want to understand
is how can you learn to be better from experience? And like I, I built a tic-tac-toe
playing program, and like, I want this tic-tac-toe playing program
to get really good at tic-tac-toe. because I was always interested
in the most practical society impacting problems. >> I think that generalized
pretty well to world hunger. >> Eventually. So so that is what got
me interested in it, and I was, I didn't even know what
it was called for a long time. So I started doing
reinforcement learning, and then discovered that it was
interesting and popular. >> Right. Well, I certainly wouldn't suggest that
we're doing the science that we're doing because it's popular. We're doing it because
we're interested in it. >> Yes. >> And I'm interested in reinforcement
learning because in some sense, it kind of encapsulates all
the things I happen to care about. I come from a sort of general AI
background, and I care modeling people. I care about building smart agents
that have to live in in world that other smart agents, thousands of them,
hundreds of thousand of them, thousands of them. Some of them might be human and"
Ee4uH7PaN1M,Reinforcement Learning - Georgia Tech - Machine Learning,2-3,"have to feel some way to
predict what to do over time. So, from a sort a technical point
of view, if we can think of re, in, supervised learning as
function approximation and unsupervised learning as, you know. >> Concise-
>> Concise, impact description, what's
the difference between something like reinforcement learning and those two? Supervised learning. >> So often the way that
supervised learning oh, sorry, reinforcement learning is described is,
is learning from delayed reward. >> Mm-hm.
So instead of the feedback that you get in supervised learning which
is here's what you should do. And the feedback that you get in
unsupervised learning which is the feedback in reinforcement
learning may come several steps after the decisions that
you've actually made. >> So a good example of that, or
the easy example of that would be, actually your tic-tac-toe program,
right? So, you do something in tic-tac-toe,
you put an X in the center and then you put a, let's say,
an O over here. >> Oh. >> And then I put an X right here. >> Nice. >> And then you ridiculously
put an O in the center. >> Which allows me to put
an X over here and I win. >> All right. >> Now what's interesting about that is, I didn't tell you what happened until
the very end when I said X wins."
Ee4uH7PaN1M,Reinforcement Learning - Georgia Tech - Machine Learning,3-4,">> Right. And now I know I made a mistake
somewhere along the way but I don't know exactly where. I may have to kind of roll back the game
in my mind and eventually figure out where it is that I went off track,
and what it is that I did wrong. >> And in the full generality
of reinforcement learning, you may have never made a mistake. It may simply be that's
the way games go but you would like to know which of
the moves you made mattered. Now, if it were a civilized learning
problem, I would have put the X here, he would have put the O there, and
it would have been called that's Good. I would have put the X here, and when he put the O there, it would have
been that's Bad, the O goes here. >> Mm-hm. Right.
>> Or something like that. It would have told you where
he should have put the O. But here, all he gets is eventually
some kind of signal saying, you did something well. You did something poorly and even
then it's only relative to the other signals that you might have gotten. >> Right, so then reinforcement
learning is in some sense harder because nobody's telling you what to do. You have to work it out on your own. >> Yeah it's like playing a game
without knowing any of the rules. Or at least knowing how you win or lose."
Ee4uH7PaN1M,Reinforcement Learning - Georgia Tech - Machine Learning,4-5,"But being told every once in awhile that
you've won or you've lost, okay, now- >> Sometimes I feel like that. >> I know man."
V59IUhkRPDY,Comparison of These Parts of ML - Georgia Tech - Machine Learning,0-1,"Okay, so we've got these three little
bits of machine learning here. And there are a lot of tools and
techniques that are inside that. >> Mm-hm.
>> And I think that's great. And we're going to be trying to
teach you a lot of those tools and techniques and
sort of ways to connect them together. So by the way,
as Michael was pointing out, there are kind of ways that these
things might help each other, unsupervised learning might
help supervised learning. It's actually much deeper than that. It turns out you, even though
unsupervised learning is clearly not the same as supervised learning at
the level that we described it, in some ways they're
exactly the same thing. Supervised learning you have some bias. Oh, it's a quadratic function,
induction make sense. All these kind of assumptions you make. And in unsupervised learning, I told you
that we don't know whether this clusters is better than this cluster, dividing by
sex is better than dividing by height, or, or hair color or whatever. >> Mm. >> But ultimately you make some
decision about how to cluster, and that means implicitly
there's some assume signal. There's some assume set of labels
that you think make sense. Oh, I think things that look alike
should somehow be clustered together. >> Mm. >> Or things that are near one
another should cluster together. So in some ways it's still kind
of like supervised learning."
V59IUhkRPDY,Comparison of These Parts of ML - Georgia Tech - Machine Learning,1-2,"You can certainly turn any supervised learning problem into
an unsupervised learning problem. >> Mm, mm.
>> Right? So in fact, all of these problems
are really the same kind of problem. >> Yeah, well there's two things
that I'd want to add to that. One is that in some sense,
in many cases, you can formulate all these different
problems as some form of optimization. In supervised learning
you want something that, that labels data well and so you're,
the thing you're trying to optimize is find me a function that,
that does that scores it. In reinforcement learning we're trying
to find a behavior that scores well. And unsu, unsupervised learning we
usually have to make up some kind of a criterion, and then we find
a way of clustering the data, organizing the data so
that it scores well. So that was the first
point I wanted to make. The other one is if you
divide things by sex and your a virgin then there's
numerical instability issues. >> Do you learn about
that on the street? >> I learned it in a Math book. >> Yes you [NOISE] I'm, I'm going to
move on And so here's the thing. >> All right.
>> Everything just Michael just said except the last part is true. But there's actually a sort of
deeper thing going on here."
V59IUhkRPDY,Comparison of These Parts of ML - Georgia Tech - Machine Learning,2-3,"To me, if you think about the
commonalities of everything we've just said, it boils down to one thing data,
data, data, data, data, data. Data is king in machine learning. Now Michael would call
himself a computer scientist. >> Oh, yeah.
>> And I would call myself a computationalist. >> What?
>> What if I'm in a college of computing at a department
of computer science? I believe in computing and
computation as being the ultimate thing. So I would call myself
a computationalist, and Michael would probably agree with that
just to keep this discussion moving. >> Let's say. >> Right. So we're computationalists. We believe in computing. That's a good thing.
>> Sure. >> Many of our colleagues who do
computations tend to think in terms of algorithms. They think in terms of what
are the series of steps I need to do in order to
solve some problem? Or they. >> [CROSSTALK].
>> Might think in terms of theorems. If I try to describe this
problem in a particular way, is it solvable quizzically
by some algorithm? >> Yeah. >> And, truthfully,
machine learning is a lot of that. But the difference between the person
who's trying to solve our problem as an AI person or
as a computing person and somebody who's trying to solve our
problem as a machine learning person is"
V59IUhkRPDY,Comparison of These Parts of ML - Georgia Tech - Machine Learning,3-4,"that the algorithm stops being central,
the data starts being central. And so what I hope you get out of this
class, or at least part of the stuff that you do, is understanding that
you have to believe the data, you have to do something with the data,
you have to be consistent with the data. The algorithms that fall out of
all that are algorithms, but they're algorithms that take the data
as primary or at least important. >> I'm going to go with co-equal. >> So the algorithms and
data are co-equal. >> Co-equal. >> Well if you believe in Lisp,
they're the same thing. >> Exactly! >> All right.
So there you go. >> They knew back in the 70s. >> So
it turns out we do agree on most things. >> [NOISE] That was close. >> Excellent! So, the rest of the semester
will go exactly like this. >> [LAUGH].
>> [LAUGH] Except you won't see us. You'll see our hands though. >> This side. This side. >> You'll see our hands, though. Thank you, Michael. >> It's all right. >> [LAUGH] What? [LAUGH]. >> What?
[LAUGH]. >> That was good,
that took me back to when I was four. Okay, so. >> Senor Wences. >> Hm?
>> It's called Señor Wences. >> Yes, I know. >> Yeah, okay.
>> I remember that. >> Mm-hm, yeah.
>> I'm not that much younger than you are. >> Little bit."
V59IUhkRPDY,Comparison of These Parts of ML - Georgia Tech - Machine Learning,4-5,">> Ten, 12 years only. >> No come on. >> You can count gray hairs. Anyway the point is the rest of
the semester will go like this. We will talk about supervised learning
and a whole series of algorithms. Step back a little bit and talk about
the theory behind them, and try to connect theory of machine learning
with theory of computing notions, or at least that kind of basic idea. What does it mean to be a hard
problem versus an easier problem? Will move into randomized optimization
and unsupervised learning where we will talk about all the issues that we
brought up here and try to connect them back to some of the things that we did
in the section on supervised learning. And then finally, we will spend our
time on reinforcement learning. And a generalization of these
traditional reinforcement learning, which involves multiple agents. So we'll talk about a little bit of. >> Mm-hm.
>> Game theory, which Michael loves to talk about. I love to talk about. And the applications of all the stuff
that we've been learning to solving problems of how to
actually act in the world? How to build that world
out to do something? Or build that agent to play a game or to teach you how to do whatever you,
you need to be taught how to do? But at the end of the day,
we're going to teach you how to"
V59IUhkRPDY,Comparison of These Parts of ML - Georgia Tech - Machine Learning,5-6,"think about data,
how to think about algorithms, and how to build artifacts that you know,
will learn? >> Let's do this thing. >> Excellent.
All right. Well thank you Michael. >> Sure. >> I will see you next time we're
in the same place at the same time."
i04Pfrb71vk,Difference between Classification and Regression - Georgia Tech - Machine Learning,0-1,"Okay, hi Michael. >> Hey Charles, how's it going. >> It's going pretty well, how's it going in your end of the world? >> Very nice, what are we want to talk about today? >> Well today we are going to talk about supervised learning. But, in particular what we're going to talk about are two kinds of supervised learning, and one particular way to do supervised learning. Okay, so the two types of supervised learning that we typically think about are classification. And regression. And we're going to spend most of the time today talking about classification and more time next time talking about regression. So the difference between classification and regression is fairly simple for the purposes of this discussion. Classification is simply the process of taking some kind of input, let's call it x. And I'm going to define these terms in a couple of minutes. And mapping it to some discrete label. Usually, for what we're talking about, something like, true or false. So, what's a good example of that? Imagine that I have a nice little picture of Michael. >> It looks just like me! >> It looks exactly like you. So I have a nice little picture here"
i04Pfrb71vk,Difference between Classification and Regression - Georgia Tech - Machine Learning,1-2,"and I want to know whether this is a male. Or a female. So given an input like this I will map it to male or female. So what do you think, Michael? Do you think this is a male or a female? >> So you're, you're classifying me as male or female based on the picture of me and I would think you know, based on how I look I'm clearly male. >> Yes. In fact, manly male. So, this would be a classification from pictures to male. The alternative would be something like a picture to female, and I'm just going to take a completely stereotypical image of either a female or. >> I think it's actually, that's actually me when I let my hair go long. >> Right, so, so which points out that this can be pretty hard. But this is where we're going to spend most of our time talking about it first as a classification task. So taking some kind of input, in this case pictures, and mapping it to some discrete number of labels, true or false, male or female, car versus cougar, anything that, that you might imagine thinking of."
i04Pfrb71vk,Difference between Classification and Regression - Georgia Tech - Machine Learning,2-3,">> Car versus cougar? >> Yes. >> That, I guess that's an important thing if you're driving. You don't want to run into any cougars or probably other cars either. >> Well you know, you're sitting down and you're trying to decide whether you should ride this thing that you see or not. >> And if its a cougar maybe you don't want to and if it's a car maybe you do. >> Excellent. Don't drive a cougar. >> Don't drive a cougar. That's the first lesson in machine learning. >> Excellent. >> Okay, so that's classification. We'll return to regression in a little bit later during this conversation. But, just as a preview, regression is more about continuous value function. So, something like giving a bunch of points. I want to give in a new point. I want to map it to some real value. So we may pretend that these are examples of a line and so given a point here, I might say the output is right there. Okay, so that's regression but we'll talk about that in a moment. Right now, what I want to talk about is classification. >> Would an example of regression also be, for example, mapping the pictures of me to the length of my hair? Like"
i04Pfrb71vk,Difference between Classification and Regression - Georgia Tech - Machine Learning,3-4,"a number that represents the length of my hair? >> Absolutely, for the purposes of, of the sort of things that we're going to be worried about you can really think of the difference between classification and regression is the difference between mapping from some input to some small number of discrete values which might represent concepts. And regression is mapping from some input space to some real number. Potentially infinite number of real numbers. >> Cool, let's do a, let's do a quiz. Make sure we get this. >> Okay, I like that."
L29Am_JBNm0,Supervised Learning Quiz - Georgia Tech - Machine Learning,0-1,"So we've talked about uh,classification and regression and gave a couple of examples of each. So now I want you to take a moment to make certain that you understand the difference because it's a crucial difference for supervised learning. Here's a very short little quiz. You have three questions here and we divided the world up into some input to some learning algorithm, whatever that learning algorithm is. The output that we're expecting and then a box for you to tell us whether its classification or regression. So, the first question, the input is credit history, whatever that means, the number of loans that you have, how much money you make, how many times you've defaulted, how many times you've been late, the sort of things that make up credit history, and the output of the learning algorithm is rather you should lend money or not. So you're a bank, and you're trying to determine whether given a credit history, I should lend this person money, that's question one. Is that classification, or is that regression? Question two you take as input a picture like the examples that we've given before. And the output of your learning system is going"
L29Am_JBNm0,Supervised Learning Quiz - Georgia Tech - Machine Learning,1-2,"to be whether this person is of high school age, college age, or grad student age. The third question is very similar. The input is again a picture. And the output is, I guess, of the actual age of the person, 17, 24, 23 and a half, whatever. So take a moment and try to decide whether these are classification tasks or regression tasks."
DZa0puxLd9w,Supervised Learning Quiz Quiz Solution - Georgia Tech - Machine Learning,0-1,">> And so now let's give the explanation for the quiz. >> Alright, so, let's see what happened here. So, what you're saying is in some cases the inputs are discrete or continuous or complicated. In other cases the outputs could be discrete or continuous or complicated. But I think what you were saying is, that what on, on, what matters to determine if something is classification or regression is whether the output is from a discrete small set or, or whether it's some continuous quantity. Is that right? >> Right, that's exactly right. The difference between a classification task or a regression task is not about the input, it's about the output. If the output is continuous then it's regression and if the output is small discrete set or discrete set, then it is a classification task. So, with that in mind, what do you think is the answer to the first one? >> So, lend money. If it was something like predicting a credit score, that seems like a more continuous quantity. But this is just a yes no, so that's a discrete class, so I'm going to go with classification."
DZa0puxLd9w,Supervised Learning Quiz Quiz Solution - Georgia Tech - Machine Learning,1-2,">> That is, correct. It is classification and the short answer is, because it's a binary task. True, false. Yes, no. Lend money or don't lend money. >> Got it. >> So it's a simple classification test. Okay, with that in mind, what about number two? >> Alright, so number two. It's trying to judge something about where they fall on a scale, high school, college, or grad student. But all of, the system is being asked to do is put them into one of those three categories, and these categories are like classes, so it's classification. >> That is also exactly right. Classification. We moved from binary to trinary in this case, but the important thing is that it's discrete. So it doesn't matter if it's high school, college grad, professor, elementary school, any number of other ways we might decide where your status of matriculation is is a small discrete set. So, with that in mind, what about number three? >> Alright, so the input is the same in this case. And the output is kind of the same except there's, well there's certainly more categories because there's more possible ages than just those three. But when you gave the example you"
DZa0puxLd9w,Supervised Learning Quiz Quiz Solution - Georgia Tech - Machine Learning,2-3,"did explicitly say that ages can be fractional like, you know, 22.3. So that definitely makes me think that it's continuous, so it should be regression. >> Right, I think that is exactly the right thing, you have a continuous output. Now, I do want to point something out. That while the right answer is regression, a lot of people might have decided that the answer was classification. So, what's an argument? If I told you in fact the answer was classification, what would be your argument for why that would be? >> Well, I guess. >> Can you think of one? >> Yeah, I guess. I mean, you know, if you think about ages as being discrete. You just say, you know, you can one or two or three or, you know, whatever up to 130, say. But there, but there's just that, that set. There isn't really, you know, usually we don't talk about fractional ages. So, so it seems like you could think of it as, as, as a set of classes. >> Right. So let's imagine. So, how old are people? Let's imagine we only cared about years, so you're either one or two or three or four or five. Or maybe you can be one and a half, and two and a half, and three and a half. But, whatever, it's, it's not all possible real number values. And we know that people"
DZa0puxLd9w,Supervised Learning Quiz Quiz Solution - Georgia Tech - Machine Learning,3-4,"don't live beyond, say, 250. Well, in that case, you've got a very large discrete set but it's still discrete. Doesn't matter whether there's two things in your set, three things in your set, or in this case 250 things in your set, it's still discrete. So, whether it's regression, or classification, depends upon exactly how you define your output and these things become important. I'm going to argue that in practice, if you were going to set up this problem, the easiest way to do it would be to think about it as a real number and you would predict something like 23.7. And so it's going to end up being a regression task and we can might, maybe think about that a little bit more as we move along. So either answer would be acceptable depending upon what your explanation of exactly what the output was. Was. You buy that? >> That makes sense. >> Excellent. Okay. Alright, let's move beyond the quiz and start thinking about exactly what it means to define a classification problem. And then"
DZa0puxLd9w,Supervised Learning Quiz Quiz Solution - Georgia Tech - Machine Learning,4-5,later what it means to define a regression problem.
IrM0MNi_Kxk,Classification Learning One - Georgia Tech - Machine Learning,0-1,"Okay so, classification learning. Before we get into the details of that, I want to define a couple of terms. Because we're going to be throwing these terms out all throughout the lessons. And I want to make certain that we're all on the same page and we mean the same thing. But we're returning to this again and again and again. So, the first term I want to introduce is the notion of instances. So, instances, or another way of thinking about them is input. Those are vectors of valu, of attributes. That define whatever your input space is. So they can be pictures, and all the pixels that make up pictures like we've been doing so far before. They can be credit score examples like how much money I make, or how much money Michael makes. >> [LAUGH] How much money I wish I made, so on and so fourth. So whatever your input value is, whatever it is you're using to describe the input, whether it's pixels or its discrete values, those are your instances, the set of things that you're looking at. So you have instances, that's the set of"
IrM0MNi_Kxk,Classification Learning One - Georgia Tech - Machine Learning,1-2,"inputs that you have. And then what we're trying to find is some kind of function And that is the concept that we care about. And this function actually maps inputs to outputs, so it takes the instances, it maps them in this case to some kind of output such as true or false. This is the, the categories of things that we're worried about. And for most of the conversation that we're going to be having, we're going to be thinking about binary classification, just true and false. But the truth is, this would work whether there were three outputs, as we did with high school, college, or grad school, or whether there were 250 as we were contemplating for ages. But the main thing here is the concept, is the function that we care about that's going to map pictures, for example, to true or false. >> So okay, I get, I get the use of the word,"" instance"", right?"" Instance"" is just, like, a single thing that's out there. But I have an intuitive notion of what a concept is. How does that relate to this more formal notion? Like,"
IrM0MNi_Kxk,Classification Learning One - Georgia Tech - Machine Learning,2-3,"can we connect this to, kind of, the intuitive notion of what a concept is? >> I guess so. So a concept, I don't know. How would you want to put that? So a concept is something That, I mean were talking about is a notion of a function, so what it means formally is that you have some input, like a picture, and it immediately inputs maps anything in that input space to some particular defined output space, like true or false, or male or female, or credit, credit worthy or not. Intuitively a concept is an idea describes a set of things. OK, so we can talk about maleness or femaleness. We can talk about short and tall; we can talk about college students and grad students. And so the concept is the notion of what creditworthiness is, what a male is, what a college student is. >> Okay, I think I see that. So, so essentially if you want to think of tallness, the concept of tallness, one way to define it is to say, Well in general if you give me something I can tell you rather or not its [UNKNOWN] so it's going to map those somethings to am I tall or not. True or false. >> Right. Exactly and so"
IrM0MNi_Kxk,Classification Learning One - Georgia Tech - Machine Learning,3-4,"really when you think about any concept and we talk about this in generally [UNKNOWN] is effectively a way of saying is effectively a set of things. That are apart of that concept. So, you can have a concept of a car and if I gave you ""cars"" you would say these things are in it and if I gave you ""non-cars"" you would say they are not. And so a concept is, therefore by definition, a mapping between objects in a world and membership in a set, which makes it a function. >> Okay, that makes sense. >> Okay."
idSVqYRwCDA,Classification Learning Two - Georgia Tech - Machine Learning,0-1,"So with that, with that notion of a concept as functions or as mappings from objects to membership in a set we have a particular target concept. And the only difference between a target concept and the general notion of concept is that the target concept is the thing we're trying to find. It's the actual answer. All right? So, a function that determines whether something is a car or not, or male or not, is the target concept. Now this is actually important, right, because we could say that. We have this notion in our head of things that are cars or things that are males, or thing, or people who are credit worthy but unless we actually have it written down somewhere we don't know whether it's right or wrong. So there is some target concept we're trying to get of all the concepts that might map pictures or people to true and false. >> Okay, so if you trying to teach me what tallness is so you have this kind of concept in mind of these, these things are"
